x	y	divider_dec	real_dec	divider_bin	real_bin	error
1.7199999690055847	1.0	1.7199997901916504	1.7199999690055847	+1.101110000101000111101000	+1.101110000101000111101011	2
1.7299999594688416	1.0	1.7299997806549072	1.7299999594688416	+1.101110101110000101000100	+1.101110101110000101000111	2
1.7399999499320984	1.0	1.739999771118164	1.7399999499320984	+1.101111010111000010100000	+1.101111010111000010100011	2
1.75	1.0	1.7499998211860657	1.75	+1.101111111111111111111101	+1.110000000000000000000000	23
1.7599999904632568	1.0	1.7599997520446777	1.7599999904632568	+1.110000101000111101011000	+1.110000101000111101011100	3
1.7699999809265137	1.0	1.7699997425079346	1.7699999809265137	+1.110001010001111010110100	+1.110001010001111010111000	4
1.7799999713897705	1.0	1.7799997329711914	1.7799999713897705	+1.110001111010111000010000	+1.110001111010111000010100	3
1.7899999618530273	1.0	1.7899997234344482	1.7899999618530273	+1.110010100011110101101100	+1.110010100011110101110000	5
1.7999999523162842	1.0	1.7999997735023499	1.7999999523162842	+1.110011001100110011001001	+1.110011001100110011001100	3
1.809999942779541	1.0	1.8099997639656067	1.809999942779541	+1.110011110101110000100101	+1.110011110101110000101000	4
1.8199999928474426	1.0	1.8199998140335083	1.8199999928474426	+1.110100011110101110000010	+1.110100011110101110000101	3
1.8299999833106995	1.0	1.8299998044967651	1.8299999833106995	+1.110101000111101011011110	+1.110101000111101011100001	6
1.8399999737739563	1.0	1.839999794960022	1.8399999737739563	+1.110101110000101000111010	+1.110101110000101000111101	3
1.8499999642372131	1.0	1.8499997854232788	1.8499999642372131	+1.110110011001100110010110	+1.110110011001100110011001	4
1.85999995470047	1.0	1.8599997758865356	1.85999995470047	+1.110111000010100011110010	+1.110111000010100011110101	3
1.8699999451637268	1.0	1.8699997663497925	1.8699999451637268	+1.110111101011100001001110	+1.110111101011100001010001	5
1.8799999952316284	1.0	1.8799997568130493	1.8799999952316284	+1.111000010100011110101010	+1.111000010100011110101110	3
1.8899999856948853	1.0	1.8899997472763062	1.8899999856948853	+1.111000111101011100000110	+1.111000111101011100001010	4
1.899999976158142	1.0	1.8999997973442078	1.899999976158142	+1.111001100110011001100011	+1.111001100110011001100110	3
1.909999966621399	1.0	1.9099997878074646	1.909999966621399	+1.111010001111010110111111	+1.111010001111010111000010	7
1.9199999570846558	1.0	1.9199997782707214	1.9199999570846558	+1.111010111000010100011011	+1.111010111000010100011110	3
1.9299999475479126	1.0	1.9299997687339783	1.9299999475479126	+1.111011100001010001110111	+1.111011100001010001111010	4
1.9399999976158142	1.0	1.9399998188018799	1.9399999976158142	+1.111100001010001111010100	+1.111100001010001111010111	2
1.949999988079071	1.0	1.9499998092651367	1.949999988079071	+1.111100110011001100110000	+1.111100110011001100110011	2
1.9599999785423279	1.0	1.9599997997283936	1.9599999785423279	+1.111101011100001010001100	+1.111101011100001010001111	2
1.9699999690055847	1.0	1.9699997901916504	1.9699999690055847	+1.111110000101000111101000	+1.111110000101000111101011	2
1.9799999594688416	1.0	1.9799997806549072	1.9799999594688416	+1.111110101110000101000100	+1.111110101110000101000111	2
1.9899999499320984	1.0	1.989999771118164	1.9899999499320984	+1.111111010111000010100000	+1.111111010111000010100011	2
1.0099999904632568	1.0099999904632568	0.9999998807907104	1.0	+0.111111111111111111111110	+1.000000000000000000000000	24
1.0199999809265137	1.0099999904632568	1.0099008083343506	1.009900987148285	+1.000000101000100011011100	+1.000000101000100011011111	2
1.0299999713897705	1.0099999904632568	1.0198018550872803	1.0198019742965698	+1.000001010001000110111100	+1.000001010001000110111110	2
1.0399999618530273	1.0099999904632568	1.0297028422355652	1.0297029614448547	+1.000001111001101010011011	+1.000001111001101010011101	3
1.0499999523162842	1.0099999904632568	1.0396037697792053	1.0396039485931396	+1.000010100010001101111001	+1.000010100010001101111100	3
1.059999942779541	1.0099999904632568	1.049504816532135	1.0495049357414246	+1.000011001010110001011001	+1.000011001010110001011011	2
1.0699999928474426	1.0099999904632568	1.05940580368042	1.0594059228897095	+1.000011110011010100111000	+1.000011110011010100111010	2
1.0799999833106995	1.0099999904632568	1.0693067908287048	1.0693069100379944	+1.000100011011111000010111	+1.000100011011111000011001	4
1.0899999737739563	1.0099999904632568	1.0792077779769897	1.0792078971862793	+1.000101000100011011110110	+1.000101000100011011111000	4
1.0999999642372131	1.0099999904632568	1.0891087651252747	1.0891088843345642	+1.000101101100111111010101	+1.000101101100111111010111	2
1.10999995470047	1.0099999904632568	1.0990096926689148	1.0990098714828491	+1.000110010101100010110011	+1.000110010101100010110110	3
1.1199999451637268	1.0099999904632568	1.1089107394218445	1.108910858631134	+1.000110111110000110010011	+1.000110111110000110010101	3
1.1299999952316284	1.0099999904632568	1.1188117265701294	1.118811845779419	+1.000111100110101001110010	+1.000111100110101001110100	3
1.1399999856948853	1.0099999904632568	1.1287127137184143	1.1287128329277039	+1.001000001111001101010001	+1.001000001111001101010011	2
1.149999976158142	1.0099999904632568	1.138613760471344	1.1386138200759888	+1.001000110111110000110001	+1.001000110111110000110010	2
1.159999966621399	1.0099999904632568	1.1485146880149841	1.1485148072242737	+1.001001100000010100001111	+1.001001100000010100010001	5
1.1699999570846558	1.0099999904632568	1.158415675163269	1.1584157943725586	+1.001010001000110111101110	+1.001010001000110111110000	5
1.1799999475479126	1.0099999904632568	1.168316662311554	1.1683167815208435	+1.001010110001011011001101	+1.001010110001011011001111	2
1.1899999976158142	1.0099999904632568	1.1782177090644836	1.1782177686691284	+1.001011011001111110101101	+1.001011011001111110101110	2
1.199999988079071	1.0099999904632568	1.1881186366081238	1.1881187558174133	+1.001100000010100010001011	+1.001100000010100010001101	3
1.2099999785423279	1.0099999904632568	1.1980196833610535	1.1980197429656982	+1.001100101011000101101011	+1.001100101011000101101100	3
1.2199999690055847	1.0099999904632568	1.2079206109046936	1.207920789718628	+1.001101010011101001001001	+1.001101010011101001001100	3
1.2299999594688416	1.0099999904632568	1.2178215980529785	1.2178217768669128	+1.001101111100001100101000	+1.001101111100001100101011	2
1.2399999499320984	1.0099999904632568	1.2277225852012634	1.2277227640151978	+1.001110100100110000000111	+1.001110100100110000001010	4
1.25	1.0099999904632568	1.237623691558838	1.2376237511634827	+1.001111001101010011101000	+1.001111001101010011101001	1
1.2599999904632568	1.0099999904632568	1.247524619102478	1.2475247383117676	+1.001111110101110111000110	+1.001111110101110111001000	4
1.2699999809265137	1.0099999904632568	1.257425606250763	1.2574257254600525	+1.010000011110011010100101	+1.010000011110011010100111	2
1.2799999713897705	1.0099999904632568	1.2673265933990479	1.2673267126083374	+1.010001000110111110000100	+1.010001000110111110000110	2
1.2899999618530273	1.0099999904632568	1.277227520942688	1.2772276997566223	+1.010001101111100001100010	+1.010001101111100001100101	3
1.2999999523162842	1.0099999904632568	1.2871285676956177	1.2871286869049072	+1.010010011000000101000010	+1.010010011000000101000100	3
1.309999942779541	1.0099999904632568	1.2970294952392578	1.2970296740531921	+1.010011000000101000100000	+1.010011000000101000100011	2
1.3199999928474426	1.0099999904632568	1.3069306015968323	1.306930661201477	+1.010011101001001100000001	+1.010011101001001100000010	2
1.3299999833106995	1.0099999904632568	1.3168315291404724	1.316831648349762	+1.010100010001101111011111	+1.010100010001101111100001	6
1.3399999737739563	1.0099999904632568	1.3267325162887573	1.3267326354980469	+1.010100111010010010111110	+1.010100111010010011000000	7
1.3499999642372131	1.0099999904632568	1.336633563041687	1.3366336226463318	+1.010101100010110110011110	+1.010101100010110110011111	1
1.35999995470047	1.0099999904632568	1.3465344905853271	1.3465346097946167	+1.010110001011011001111100	+1.010110001011011001111110	2
1.3699999451637268	1.0099999904632568	1.356435477733612	1.3564355969429016	+1.010110110011111101011011	+1.010110110011111101011101	3
1.3799999952316284	1.0099999904632568	1.3663365244865417	1.3663365840911865	+1.010111011100100000111011	+1.010111011100100000111100	3
1.3899999856948853	1.0099999904632568	1.3762375116348267	1.3762375712394714	+1.011000000101000100011010	+1.011000000101000100011011	1
1.399999976158142	1.0099999904632568	1.3861384391784668	1.3861385583877563	+1.011000101101100111111000	+1.011000101101100111111010	2
1.409999966621399	1.0099999904632568	1.3960394859313965	1.3960395455360413	+1.011001010110001011011000	+1.011001010110001011011001	1
1.4199999570846558	1.0099999904632568	1.4059404134750366	1.405940592288971	+1.011001111110101110110110	+1.011001111110101110111001	4
1.4299999475479126	1.0099999904632568	1.4158414006233215	1.4158415794372559	+1.011010100111010010010101	+1.011010100111010010011000	4
1.4399999976158142	1.0099999904632568	1.4257424473762512	1.4257425665855408	+1.011011001111110101110101	+1.011011001111110101110111	2
1.449999988079071	1.0099999904632568	1.4356434345245361	1.4356435537338257	+1.011011111000011001010100	+1.011011111000011001010110	2
1.4599999785423279	1.0099999904632568	1.445544421672821	1.4455445408821106	+1.011100100000111100110011	+1.011100100000111100110101	3
1.4699999690055847	1.0099999904632568	1.455445408821106	1.4554455280303955	+1.011101001001100000010010	+1.011101001001100000010100	3
1.4799999594688416	1.0099999904632568	1.4653463959693909	1.4653465151786804	+1.011101110010000011110001	+1.011101110010000011110011	2
1.4899999499320984	1.0099999904632568	1.475247323513031	1.4752475023269653	+1.011110011010100111001111	+1.011110011010100111010010	5
1.5	1.0099999904632568	1.4851484894752502	1.4851484894752502	+1.011111000011001010110001	+1.011111000011001010110001	1
1.5099999904632568	1.0099999904632568	1.4950493574142456	1.4950494766235352	+1.011111101011101110001110	+1.011111101011101110010000	5
1.5199999809265137	1.0099999904632568	1.5049503445625305	1.50495046377182	+1.100000010100010001101101	+1.100000010100010001101111	2
1.5299999713897705	1.0099999904632568	1.5148513317108154	1.514851450920105	+1.100000111100110101001100	+1.100000111100110101001110	2
1.5399999618530273	1.0099999904632568	1.5247523188591003	1.52475243806839	+1.100001100101011000101011	+1.100001100101011000101101	3
1.5499999523162842	1.0099999904632568	1.5346532464027405	1.5346534252166748	+1.100010001101111100001001	+1.100010001101111100001100	3
1.559999942779541	1.0099999904632568	1.5445542931556702	1.5445544123649597	+1.100010110110011111101001	+1.100010110110011111101011	2
1.5699999928474426	1.0099999904632568	1.5544553399085999	1.5544553995132446	+1.100011011111000011001001	+1.100011011111000011001010	2
1.5799999833106995	1.0099999904632568	1.56435626745224	1.5643563866615295	+1.100100000111100110100111	+1.100100000111100110101001	4
1.5899999737739563	1.0099999904632568	1.5742573142051697	1.5742573738098145	+1.100100110000001010000111	+1.100100110000001010001000	4
1.5999999642372131	1.0099999904632568	1.5841582417488098	1.5841583609580994	+1.100101011000101101100101	+1.100101011000101101100111	2
1.60999995470047	1.0099999904632568	1.5940592288970947	1.5940593481063843	+1.100110000001010001000100	+1.100110000001010001000110	2
1.6199999451637268	1.0099999904632568	1.6039602160453796	1.603960394859314	+1.100110101001110100100011	+1.100110101001110100100110	3
1.6299999952316284	1.0099999904632568	1.6138612627983093	1.6138613820075989	+1.100111010010011000000011	+1.100111010010011000000101	3
1.6399999856948853	1.0099999904632568	1.6237621903419495	1.6237623691558838	+1.100111111010111011100001	+1.100111111010111011100100	3
1.649999976158142	1.0099999904632568	1.6336632370948792	1.6336633563041687	+1.101000100011011111000001	+1.101000100011011111000011	2
1.659999966621399	1.0099999904632568	1.6435641646385193	1.6435643434524536	+1.101001001100000010011111	+1.101001001100000010100010	6
1.6699999570846558	1.0099999904632568	1.6534651517868042	1.6534653306007385	+1.101001110100100101111110	+1.101001110100100110000001	8
1.6799999475479126	1.0099999904632568	1.6633661985397339	1.6633663177490234	+1.101010011101001001011110	+1.101010011101001001100000	6
1.6899999976158142	1.0099999904632568	1.6732671856880188	1.6732673048973083	+1.101011000101101100111101	+1.101011000101101100111111	2
1.699999988079071	1.0099999904632568	1.6831681728363037	1.6831682920455933	+1.101011101110010000011100	+1.101011101110010000011110	2
1.7099999785423279	1.0099999904632568	1.6930691599845886	1.6930692791938782	+1.101100010110110011111011	+1.101100010110110011111101	3
1.7199999690055847	1.0099999904632568	1.7029701471328735	1.702970266342163	+1.101100111111010111011010	+1.101100111111010111011100	3
1.7299999594688416	1.0099999904632568	1.7128710746765137	1.712871253490448	+1.101101100111111010111000	+1.101101100111111010111011	2
